,Occupation,Total Number of workers,Median weekly earnings,Number of workers Men,Median weekly earnings Men,Number of workers Women,Median weekly earnings Women,Gender_Gap
347,Data entry keyers,203.0,675.0,50.0,738.0,153.0,656.0,11.111111111111116
352,"Office clerks, general",997.0,685.0,188.0,718.0,809.0,677.0,5.710306406685239
356,"Office and administrative support workers, all other",522.0,866.0,147.0,950.0,375.0,820.0,13.684210526315788
358,"Natural resources, construction, and maintenance occupations",11671.0,869.0,11134.0,881.0,537.0,614.0,30.30646992054483
359,"Farming, fishing, and forestry occupations",900.0,574.0,690.0,593.0,210.0,513.0,13.490725126475544
364,Miscellaneous agricultural workers,691.0,558.0,544.0,581.0,148.0,502.0,13.597246127366613
369,Construction and extraction occupations,6467.0,866.0,6280.0,873.0,187.0,711.0,18.556701030927837
410,"Installation, maintenance, and repair occupations",4304.0,939.0,4164.0,943.0,140.0,850.0,9.86214209968187
449,"Production, transportation, and material moving occupations",15353.0,727.0,12020.0,780.0,3334.0,593.0,23.974358974358978
450,Production occupations,7741.0,745.0,5668.0,814.0,2073.0,596.0,26.781326781326786
451,First-line supervisors of production and operating workers,806.0,949.0,633.0,1031.0,173.0,721.0,30.067895247332686
453,"Electrical, electronics, and electromechanical assemblers",103.0,644.0,52.0,712.0,51.0,594.0,16.57303370786517
456,Miscellaneous assemblers and fabricators,900.0,684.0,574.0,724.0,326.0,597.0,17.5414364640884
457,Bakers,151.0,561.0,70.0,590.0,81.0,522.0,11.525423728813555
458,"Butchers and other meat, poultry, and fish processing workers",265.0,648.0,198.0,671.0,67.0,573.0,14.605067064083455
462,"Food processing workers, all other",144.0,658.0,94.0,779.0,50.0,573.0,26.44415917843389
483,"Metal workers and plastic workers, all other",385.0,736.0,312.0,795.0,74.0,592.0,25.53459119496856
516,"Inspectors, testers, sorters, samplers, and weighers",722.0,835.0,463.0,939.0,259.0,693.0,26.198083067092647
519,Packaging and filling machine operators and tenders,244.0,575.0,116.0,646.0,128.0,533.0,17.492260061919506
531,"Production workers, all other",1056.0,704.0,763.0,767.0,293.0,566.0,26.205997392438075
532,Transportation and material moving occupations,7612.0,711.0,6352.0,747.0,1260.0,586.0,21.552878179384205
538,Bus drivers,364.0,674.0,205.0,718.0,159.0,625.0,12.952646239554323
539,Driver/sales workers and truck drivers,2723.0,843.0,2564.0,861.0,159.0,660.0,23.344947735191635
540,Taxi drivers and chauffeurs,406.0,614.0,356.0,624.0,50.0,520.0,16.666666666666664
559,Industrial truck and tractor operators,541.0,677.0,489.0,686.0,52.0,625.0,8.892128279883382
561,"Laborers and freight, stock, and material movers, hand",1764.0,634.0,1402.0,657.0,362.0,567.0,13.698630136986301
563,"Packers and packagers, hand",467.0,530.0,202.0,576.0,265.0,515.0,10.590277777777779
