,location,time,gender_pay_gap,gini,Unnamed: 0,prct_f_employed_ICT
217,NZL,2011,4.5333333333,0.32299999999999995,,
218,NZL,2012,5.9079061685,0.33299999999999996,,
219,NZL,2013,6.5943238731,,,
220,NZL,2014,6.083333333300001,0.349,,
221,NZL,2015,7.92,,,
222,NZL,2016,7.7692307692,,,
223,NZL,2017,7.1508379888,,,
224,NZL,2018,7.869692532899999,,,
225,NOR,2005,9.3885160328,,,
226,NOR,2006,9.1624347329,,,
227,NOR,2007,9.831148259199999,,,
228,NOR,2008,9.2356687898,0.25,,
229,NOR,2009,8.6687306502,0.245,135.0,15.6
230,NOR,2010,8.0597014925,0.249,291.0,16.2
231,NOR,2011,7.7809798271,0.25,447.0,15.3
232,NOR,2012,6.4066852368,0.253,603.0,14.4
233,NOR,2013,7.0080862534,0.252,759.0,16.6
234,NOR,2014,6.2827225130999995,0.257,915.0,16.1
235,NOR,2015,7.1246819338,0.272,1071.0,17.0
236,POL,2006,11.440420482999999,0.315,,
237,POL,2008,12.993822243,0.308,,
238,POL,2010,7.1902070437,0.305,255.0,31.1
239,POL,2012,10.620155274,0.297,567.0,16.0
240,POL,2014,11.07286288,0.298,879.0,13.9
241,POL,2016,9.4178809362,0.284,1191.0,14.5
242,PRT,2005,15.966388101,0.379,,
243,PRT,2006,14.354839495,0.369,,
244,PRT,2007,15.277779722,0.361,,
245,PRT,2008,15.63548277,0.355,,
246,PRT,2009,13.792500584,0.337,103.0,23.3
247,PRT,2010,13.450867734000001,0.341,259.0,22.9
248,PRT,2011,15.248122552,0.337,415.0,14.6
249,PRT,2012,16.315464897000002,0.337,571.0,11.9
250,PRT,2013,16.666666667,0.341,727.0,11.6
251,PRT,2014,18.879690138,0.33799999999999997,883.0,13.7
252,PRT,2015,18.917016404,0.336,1039.0,15.3
253,PRT,2016,14.313146075999999,0.331,1195.0,16.1
254,PRT,2017,14.773510708,,1351.0,14.4
255,SVK,2005,20.099255582999998,0.289,,
256,SVK,2006,17.802768166,,,
257,SVK,2007,17.521704815,0.245,,
258,SVK,2008,16.444769567999998,0.256,,
259,SVK,2009,16.432721259,0.264,115.0,33.8
260,SVK,2010,14.851117649,0.263,271.0,36.1
261,SVK,2011,15.449856429,0.261,427.0,16.5
262,SVK,2012,15.965269160999998,0.25,583.0,12.9
263,SVK,2013,14.109329757000001,0.26899999999999996,739.0,9.1
264,SVK,2014,14.350047529000001,0.247,895.0,12.0
265,SVK,2015,13.376624885,0.251,1051.0,11.4
266,SVK,2016,13.899182142999999,0.24100000000000002,1207.0,9.2
267,SVK,2017,15.040042332,,1363.0,13.7
268,SVK,2018,15.662080133,,1519.0,12.3
269,ESP,2006,13.533333333,,,
270,ESP,2010,13.504464286,0.33899999999999997,207.0,17.6
271,ESP,2014,11.540497618,0.344,831.0,18.0
272,SWE,2005,11.304347825999999,,,
273,SWE,2006,11.016949152999999,,,
274,SWE,2007,11.836734694,,,
275,SWE,2008,10.588235294,,,
276,SWE,2009,9.5419847328,,123.0,21.0
277,SWE,2010,9.363295880099999,,279.0,20.7
278,SWE,2011,9.1575091575,,435.0,19.0
279,SWE,2012,9.285714285700001,,591.0,19.4
280,SWE,2013,9.375,0.268,747.0,19.6
281,SWE,2014,9.1525423729,0.27399999999999997,903.0,19.1
282,SWE,2015,8.3333333333,0.278,1059.0,18.9
283,SWE,2016,8.1699346405,0.282,1215.0,20.8
284,SWE,2017,7.3482428115,0.282,1371.0,20.9
285,CHE,2006,21.318132126,0.305,,
286,CHE,2008,21.307506053,0.306,,
287,CHE,2010,20.053595355,0.298,295.0,17.3
288,CHE,2012,19.343526440999998,0.285,607.0,12.8
289,CHE,2014,16.940742841,0.297,919.0,13.5
290,CHE,2016,14.762372073,,1231.0,14.9
291,TUR,2006,3.2069970844999998,,,
292,TUR,2010,3.1042128602999997,,311.0,22.5
293,TUR,2014,6.882591093099999,0.39799999999999996,935.0,13.1
294,GBR,2005,22.0639582,0.359,,
295,GBR,2006,21.718084024,0.364,,
296,GBR,2007,21.634780706999997,0.373,,
297,GBR,2008,21.857869108000003,0.369,,
298,GBR,2009,20.686295954000002,0.374,127.0,23.1
299,GBR,2010,19.231436918,0.35100000000000003,283.0,24.6
300,GBR,2011,18.246005203,0.354,439.0,15.7
301,GBR,2012,17.783882784,0.35100000000000003,595.0,15.8
302,GBR,2013,17.482014388,0.358,751.0,16.8
303,GBR,2014,17.382742570999998,0.35600000000000004,907.0,16.5
304,GBR,2015,17.101551480999998,0.36,1063.0,16.2
305,GBR,2016,16.796536797,0.35100000000000003,1219.0,16.2
306,GBR,2017,16.534100525,0.35700000000000004,1375.0,17.6
307,GBR,2018,16.403940887,,1531.0,16.3
308,USA,2005,18.975069252,,,
309,USA,2006,19.246298789,,,
310,USA,2007,19.843342037,,,
311,USA,2008,20.050125313,,,
312,USA,2009,19.78021978,,,
313,USA,2010,18.810679612,,,
314,USA,2011,17.788461538,,,
315,USA,2012,19.086651054,,,
316,USA,2013,17.906976744,0.396,,
317,USA,2014,17.451205510999998,0.39399999999999996,,
318,USA,2015,18.882681564000002,0.39,,
319,USA,2016,18.142076503,0.391,,
320,USA,2017,18.172157279,0.39,,
321,USA,2018,18.910585817,,,
322,CHL,2006,5.5555555556,,,
323,CHL,2009,9.0909090909,0.48,,
324,CHL,2011,16.0,0.47100000000000003,,
325,CHL,2013,10.666666667000001,0.465,,
326,CHL,2015,14.285714286,0.45399999999999996,,
327,CHL,2017,12.5,0.46,,
328,EST,2006,29.6875,,,
329,EST,2010,27.797833935,,195.0,40.1
330,EST,2014,28.339350181,0.34600000000000003,819.0,19.1
331,ISR,2005,21.924398625,,,
332,ISR,2006,21.955215729000003,,,
333,ISR,2007,20.40924794,,,
334,ISR,2008,22.058823529,,,
335,ISR,2009,21.13599802,,,
336,ISR,2010,20.391577392000002,,,
337,ISR,2011,19.659666908,0.371,,
338,ISR,2012,20.0,0.371,,
339,ISR,2013,20.345901815,0.36,,
340,ISR,2014,20.108141196,0.365,,
341,ISR,2015,20.439189189,0.36,,
342,ISR,2016,21.593332041,0.34600000000000003,,
343,ISR,2017,21.791789940999998,0.344,,
344,LVA,2006,10.991957105,0.35100000000000003,,
345,LVA,2010,19.055649240999998,0.34700000000000003,227.0,29.5
346,LVA,2014,21.122994652,0.35,851.0,23.4
347,LTU,2006,15.952380952,0.32899999999999996,,
348,LTU,2010,10.642570281,0.32899999999999996,231.0,32.4
349,LTU,2014,12.479740681,0.381,855.0,16.6
350,SVN,2006,7.220573689400001,0.237,,
351,SVN,2010,0.9917355372,0.244,267.0,26.2
352,SVN,2014,4.9962714392,0.251,891.0,13.3
353,OECD,2005,15.8369842001463,,,
354,OECD,2006,15.1566974111944,,,
355,OECD,2007,15.666345944428,,,
356,OECD,2008,15.705133528628199,,,
357,OECD,2009,15.134606904405501,,,
358,OECD,2010,14.3242601598918,,,
359,OECD,2011,14.3437888790016,,,
360,OECD,2012,14.234536425843698,,,
361,OECD,2013,14.521205460043301,,,
362,OECD,2014,14.047716228288401,,,
363,OECD,2015,13.975286984688198,,,
364,OECD,2016,13.251557089677801,,,
365,OECD,2017,13.437751918343698,,,
